candidate_id,target,source_pool_policy,eligible_target_names,target_score,best_anchor_target_score,target_delta_vs_anchor,reblend_weight,macro_brier_delta,fold_logloss_std,control_result,claim_status,claim_reason
q2_lgb_weighted_reliability_v1,Q2,primary_claim_pool,Q2,0.7328674847085078,0.6556358809986518,0.07723160370985604,0.0,0.004938410862379478,0.047339585555002416,not_run,disputed,macro Brier regression exceeds 0.0010
q2_cb_weighted_reliability_v1,Q2,primary_claim_pool,Q2,0.6900178445526732,0.6556358809986518,0.034381963554021455,0.0,0.002339206624353607,0.038381590958947324,not_run,disputed,macro Brier regression exceeds 0.0010
s4_lgb_weighted_reliability_v1,S4,primary_claim_pool,S4,0.7283917217014442,0.6599865674577321,0.06840515424371207,0.0,0.004032837701344522,0.10020561962516943,not_run,disputed,macro Brier regression exceeds 0.0010
s4_cb_weighted_reliability_v1,S4,primary_claim_pool,S4,0.6916832943369586,0.6599865674577321,0.03169672687922653,0.0,0.0021359802032861475,0.06169595439503975,not_run,disputed,macro Brier regression exceeds 0.0010
q2_uncertainty_prior_shrink_v1,Q2,primary_claim_pool,Q2,0.655970063133343,0.6556358809986518,0.00033418213469127434,0.0,1.997343217247094e-05,0.0,not_run,tentative,run completed but support gate not met
s4_uncertainty_prior_shrink_v1,S4,primary_claim_pool,S4,0.660164754257362,0.6599865674577321,0.00017818679962988693,0.0,1.089849453159153e-05,0.0,not_run,tentative,run completed but support gate not met
q2_temperature_scale_v1,Q2,primary_claim_pool,Q2,0.656119598961425,0.6556358809986518,0.00048371796277324464,0.0,2.9031265290857533e-05,0.0,not_run,tentative,run completed but support gate not met
s4_temperature_scale_v1,S4,primary_claim_pool,S4,0.6602522178631097,0.6599865674577321,0.0002656504053776265,0.0,1.628051848148737e-05,0.0,not_run,tentative,run completed but support gate not met
q2_nested_platt_diagnostic_v1,Q2,primary_claim_pool,Q2,0.6556358809986518,0.6556358809986518,0.0,0.1,0.0,0.0,not_run,supported,targetwise reblend weight gate passed
s4_nested_platt_diagnostic_v1,S4,primary_claim_pool,S4,0.6599865674577321,0.6599865674577321,0.0,0.1,0.0,0.0,not_run,supported,targetwise reblend weight gate passed
