candidate_id,target,model_family,status,trial_count,objective_value_min,objective_value_mean,objective_value_max,target_logloss_min,target_logloss_mean,target_logloss_max,macro_brier_min,macro_brier_mean,macro_brier_max
cb_foldsafe_baseline_v1,Q1,catboost,completed,50,0.6910641814615979,0.7699631911545965,1.137976055848844,0.6910641814615979,0.7699631911545965,1.137976055848844,,,
cb_foldsafe_baseline_v1,Q2,catboost,completed,50,0.6226377988692764,0.772123155828864,1.3259322971477647,0.6226377988692764,0.772123155828864,1.3259322971477647,,,
cb_foldsafe_baseline_v1,Q3,catboost,completed,50,0.6329808421366155,0.7268426965661473,0.8881071565496269,0.6329808421366155,0.7268426965661473,0.8881071565496269,,,
cb_foldsafe_baseline_v1,S1,catboost,completed,50,0.5398655708976317,0.7023092249685419,1.238535427888568,0.5398655708976317,0.7023092249685419,1.238535427888568,,,
cb_foldsafe_baseline_v1,S2,catboost,completed,50,0.5714692116077906,0.7513364052976192,1.110118847648817,0.5714692116077906,0.7513364052976192,1.110118847648817,,,
cb_foldsafe_baseline_v1,S3,catboost,completed,50,0.5981448792533207,0.8038782000103383,1.2737823997589763,0.5981448792533207,0.8038782000103383,1.2737823997589763,,,
cb_foldsafe_baseline_v1,S4,catboost,completed,50,0.6399786540140984,0.7554657279659895,1.065458094044058,0.6399786540140984,0.7554657279659895,1.065458094044058,,,
lgb_foldsafe_baseline_v1,Q1,lightgbm,completed,50,0.7032113514156317,0.8128281349477249,1.1275099953025929,0.7032113514156317,0.8128281349477249,1.1275099953025929,,,
lgb_foldsafe_baseline_v1,Q2,lightgbm,completed,50,0.6645496919370149,0.8533969085311157,1.4876847230048522,0.6645496919370149,0.8533969085311157,1.4876847230048522,,,
lgb_foldsafe_baseline_v1,Q3,lightgbm,completed,50,0.664118854995342,0.7910291807115962,1.174647630970695,0.664118854995342,0.7910291807115962,1.174647630970695,,,
lgb_foldsafe_baseline_v1,S1,lightgbm,completed,50,0.5379737038438661,0.807495797701036,1.5167553099134623,0.5379737038438661,0.807495797701036,1.5167553099134623,,,
lgb_foldsafe_baseline_v1,S2,lightgbm,completed,50,0.6293058066060645,0.8394671368691463,1.439206764470428,0.6293058066060645,0.8394671368691463,1.439206764470428,,,
lgb_foldsafe_baseline_v1,S3,lightgbm,completed,50,0.6247470356967644,0.9230105121283984,1.5654528354031143,0.6247470356967644,0.9230105121283984,1.5654528354031143,,,
lgb_foldsafe_baseline_v1,S4,lightgbm,completed,50,0.6280316721966879,0.8204189452932367,1.573251192762585,0.6280316721966879,0.8204189452932367,1.573251192762585,,,
q2_cb_weighted_reliability_v1,Q2,catboost,completed,50,0.6213168640924382,0.7680773284324988,1.25116829100334,0.6213168640924382,0.7680773284324988,1.25116829100334,,,
q2_lgb_weighted_reliability_v1,Q2,lightgbm,completed,50,0.6805618929692817,0.8568998942252448,1.5259455323533588,0.6805618929692817,0.8568998942252448,1.5259455323533588,,,
s4_cb_weighted_reliability_v1,S4,catboost,completed,50,0.6271813552424826,0.7581802502430516,1.141038052481547,0.6271813552424826,0.7581802502430516,1.141038052481547,,,
s4_lgb_weighted_reliability_v1,S4,lightgbm,completed,50,0.6221791526150131,0.8170041534106839,1.5690205395273429,0.6221791526150131,0.8170041534106839,1.5690205395273429,,,
